pdes,name,H,diameter,albedo,rot_per,e,a,i,om,w,ma
3167,Babcock,11.2,12.27,0.3233,15.450,.1063856398481917,2.541024643752495,15.56303957521699,17.6498618683943,257.8424133108309,303.6601074905658
3176,Paolicchi,11.1,33.94,0.0669,20.4,.02957780405718277,2.875353486322586,18.09683644224537,53.29221030618739,24.29135691354667,329.8192168325054
3197,Weissman,11.5,21.61,0.0790,6.122,.179048382962409,2.666588479484929,16.40979997792412,111.77573365,313.2181147320156,318.3221321860989
3199,Nefertiti,14.84,2.2,0.42,3.021,.28390865260741,1.574575044822119,32.96774510707972,340.0229410365179,53.3997709000317,83.02806038815285
3200,Phaethon,14.6,5.10,0.1066,3.604,.8898360018634667,1.271171407909807,22.23995084156189,265.2652193290772,322.1437269155684,293.761054233791
3223,Forsius,11.2,20.7,0.1365,2.343,.1431575658576027,2.606166590397841,10.06132033256521,168.1899626625667,294.0245747873292,328.7718350910769
3237,Victorplatt,10.5,25.93,0.1513,10.36,.06579899476919032,3.014843364021903,9.110125568739045,280.3289782335427,340.1889912670568,36.46456941226052
3247,"Di Martino",13.0,13.75,0.0647,5.445,.1288343112857695,2.376967784027212,3.934121255698894,45.63279920133005,146.3906420292962,266.8379333449323
3248,Farinella,10.70,37.49,0.0660,6.676,.1532196540821945,3.205989036710331,10.85499775667906,12.34619002362238,314.104139731075,134.9509005415238
3267,Glo,12.8,13.6,0.0607,6.8782,.2949491658618279,2.329863603766318,24.01521002595364,110.5769580995324,307.5220055315617,224.3284936088091
3285,"Ruth Wolfe",12.1,8.62,0.2857,3.919,.2158112240060324,2.527200625318744,20.58743539307593,246.1624564931313,169.0850889938118,262.6992562360988
3288,Seleucus,15.2,2.8,0.22,75.,.4559474910198164,2.03319210483737,5.928229156141628,218.6613976071763,349.2821928778862,97.13968534670383
3307,Athabasca,13.8,11,0.0441,4.902,.09596315964228695,2.259511545903883,6.373030826581701,263.2037781766771,146.2260919093756,99.63983044665446
3317,Paris,8.4,116.26,0.0626,7.082,.1263409854132599,5.223377469053361,27.86034324704801,135.8972162692857,150.4479121358242,145.7910120432167
3318,Blixen,10.9,23.5,0.1275,6.456,.04947320268828529,3.007813745272605,11.58262755750823,109.1904389054674,52.14669514189187,285.0819541305787
3324,Avsyuk,11.8,18.24,0.1109,8.6140,.02522436020359243,2.698576045741246,10.76449841657831,316.80929858654,177.3749359543039,66.27379724681127
3339,Treshnikov,11.2,32.68,0.0601,18.2947,.1340676049804103,3.17732132845883,17.81017650753078,84.80100974480722,148.6553055733974,158.1974956821327
3345,Tarkovskij,11.8,24.25,0.0688,187.,.1903591176161812,2.472103787909726,15.85461222263067,304.9057445828806,194.317930596344,42.63026292983804
3353,Jarvis,13.6,9.72,0.0744,202.0,.0848935109233139,1.862790507508668,21.80888780352591,245.6252393439385,34.63788988969721,131.3696862674768
3397,Leyla,13.3,5.34,0.2251,3.098,.2977408274013052,2.349750521363289,21.99349098789732,25.85447051144872,95.37209580966194,294.1380870201368
3406,Omsk,11.7,14.68,0.2476,7.275,.1328620494924569,2.794990554132545,8.365062205765811,269.9396352050267,310.4106038894123,231.2158617042217
3415,Danby,10.9,32.33,0.0809,5.666,.2497150331415063,3.966301607857381,1.366416946597648,253.985152700323,136.7140401351932,320.8527109106793
3419,Guth,10.9,32.96,0.0854,14.43,.06385342285753702,3.213442479675301,17.48512456316891,58.54581438394536,224.1657629375268,247.6809314316498
3425,Hurukawa,10.9,25.4,0.1315,24.84,.08516830720615455,3.002053909521631,9.21234169665699,291.5302487193039,134.9422316809182,236.7685775116769
3445,Pinson,12.5,17.76,0.0738,7.801,.1232604420927189,2.689101432009072,11.27834786658335,334.1555878683883,200.1151470844088,74.60561444139424
3478,Fanale,12.7,14.95,0.0600,3.245,.1629446543913205,2.236066175759697,3.840692688875693,126.4731812124594,269.8886670717812,221.9303198098021
3485,Barucci,12.8,13.70,0.0858,14.65,.1669658198299556,2.438394190570802,1.804390367062727,315.4083257210584,339.0051406425963,97.47023834291784
3548,Eurybates,9.7,72.14,0.0538,8.711,.08995367360117744,5.184785163138749,8.067543731149316,43.57014546470344,28.00996928487432,136.9777473920516
3551,Verenia,16.75,0.9,0.37,4.930,.4868560759185012,2.093345643461934,9.50768545354021,173.8376281455581,193.2510618286288,110.8926407966961
3552,"Don Quixote",12.9,19.0,0.03,7.7,.713424746506688,4.221982097194652,31.02981254651248,350.1991830276274,317.0475369191569,218.4038642777877
3554,Amun,15.82,2.48,0.1284,2.53001,.2804448141231171,.9736581137198315,23.36175217471102,358.6281572073268,359.3821982840012,134.4330688930604
3560,Chenqian,10.9,29.92,0.1245,18.79,.1184029002678112,3.015319957506267,9.290249453964416,325.2002739381346,59.59302870306637,161.3863869383239
3564,Talthybius,9.4,68.92,0.0934,40.59,.04127668949469161,5.211941829925539,15.50093382554534,23.79483049045559,201.901319757156,313.3525463439164
3578,Carestia,10.1,57.80,0.0121,9.93,.2081625177517936,3.21063128443771,21.3120576148134,284.7563979579382,47.96897429361132,49.24545767458356
3614,Tumilty,10.5,58.12,0.0274,26.8,.1277385410907201,2.981015700526394,16.71703572693228,287.1971868509272,311.0691533477906,340.5373211806924
3631,Sigyn,11.0,35.18,0.0901,41.,.07612905936692577,3.096120712210217,14.42347953126366,150.8794361754511,158.411241332767,225.2800845184898
3637,O''Meara,11.6,13.10,0.1488,5.49,.1239227129871961,2.556930712248134,14.31789037536219,207.8476737152154,69.85664664859873,228.7072702610899
3642,Frieden,11.1,35.11,0.0475,14.491,.08250423423573887,2.788363138662835,13.47508756634487,131.3046415260226,15.04086585478765,350.5351988672431
3647,Dermott,11.5,30.69,0.0517,21.779,.1018536014659113,2.800330070719773,8.048874895110133,126.1607331095543,219.6506556753968,185.073121288275
3671,Dionysus,16.4,1.5,0.16,2.7053,.5422319786652254,2.197748300640029,13.54793681798276,82.16316993483981,204.2029699796835,123.4153524150606
3682,Welther,11.7,19.32,0.1189,3.5973,.3219664929781643,2.755181516858454,13.57155025157057,255.6192228592026,113.7092078546958,311.7226705289029
3684,Berry,13.8,12.37,0.0504,11.9,.1535240330831052,2.287531690339467,6.811589249726275,94.98537119262784,67.71431841010134,40.89793637797892
3685,Derdenye,13.30,10.17,0.0817,12.,.1746920399576364,2.66640466402616,15.11875548081896,202.8760780791171,183.2334046818303,57.49279444910331
3686,Antoku,12.3,16.88,0.0680,6.2,.1451325825230054,2.740823271820618,5.720944452612821,134.5893516159697,79.1220884992663,353.316948365444
3687,Dzus,11.4,28.61,0.0542,7.44,.199839738066176,2.7269630656306,15.79722377539188,224.8987380020168,113.8994309704145,225.3632132687796
3693,Barringer,11.6,24.74,0.0603,6.626,.2045251920167007,3.146140199059499,14.92078398199443,178.8780292496814,184.7609364246281,289.1767226252506
3694,Sharon,10.4,45.31,0.0653,11.478,.2062234681150261,3.935260151809343,4.976446026111748,311.0936065573939,80.78008941676897,302.1730383366731
3709,Polypoites,9.0,99.09,0.0452,5.71,.06042927091390207,5.245416960431736,19.62081958344696,187.1460894669902,247.7091028533137,103.0546167339377
3724,Annenskij,11.6,14.15,0.2022,3.974,.1654198480274124,2.76406957000646,7.734705392816207,269.2746423586357,117.5970542967325,278.9468380995554
3728,IRAS,11.9,19.55,0.1161,8.323,.2131305098546502,2.65030243012863,22.59317330550869,167.3731299775512,281.230326175401,47.65720803803156
3730,Hurban,11.7,26.38,0.0484,4.649,.1628745061310944,2.724944411344479,6.957416266428779,305.5442250432148,41.28650224919114,43.49511035353959
3731,Hancock,10.7,49.28,0.0552,6.712,.1164764526445023,3.227874089867783,21.57114152567242,264.2943914656515,253.5369589376456,80.20277157398783
